Part_ID,Part_Name,Equipment_Family_ID,Equipment_Family,Equipment_Model,Part_Category_ID,Part_Category,Demand_Profile,Criticality,Supplier_ID,Supplier_Region,Unit_Cost_EUR,Storage_Type,Lifecycle_Status,Target_Service_Level,Avg_Weekly_Demand_Seed,ABC_Class,Source_Context,Movement_Class,Movement_Lines_36M,Annual_Lines,Avg_Monthly_Lines,Cumulative_Movement_%,Manual_Location,UDC_Type,Dim_X_mm,Dim_Y_mm,Dim_Z_mm,Unit_Volume_cm3,Max_Dimension_mm,Min_Dimension_mm,Stock_Managed,Avg_Daily_Qty,Lead_Time_Weeks,Safety_Stock_Qty,Reorder_Point_Qty,Max_Stock_Qty,Stock_Qty,Total_Qty_36M,Total_Volume_cm3,XYZ_Class,Avg_Weekly_Demand,Demand_CV,Available_Qty,Estimated_Inventory_Value
TC-BLT-0725,HD1200 Truck Drive Belt,TC,Tyre Changer,HD1200 Truck,BLT,Belts & pulleys,regular,Low,SUP-019,EU,75.0,Bin,Active,0.9,1.316,A,Anonymised/reconstructed warehouse transition dataset,C,3,1.0,0.08,92.21,R-C64,D,230,161,59,2185,230,59,1,0.263,1.0,1,3,5,5,206,10925,Z,0.416666666666667,3.32730637933081,5,375.0
WA-BRG-0278,REMO Hub Shaft,WA,Wheel Aligner,REMO,BRG,Bearings & shafts,regular,Medium,SUP-015,EU,140.0,Bin,Active,0.94,0.963,A,Anonymised/reconstructed warehouse transition dataset,D,3,1.0,0.08,92.4,R-H60,D,210,126,114,3016,210,114,1,0.193,1.4,2,4,7,9,151,21112,Z,0.224358974358974,2.9769993862314,9,1260.0
AD-CON-0088,Diagnostic Console O-Ring Kit,AD,ADAS & Diagnosis,Diagnostic Console,CON,Consumables & service kits,frequent,Medium,SUP-003,EU,40.89,Bin,Active,0.94,2.535,A,Anonymised/reconstructed warehouse transition dataset,C,3,1.0,0.08,92.49,R-Y93,E,360,120,48,2074,360,48,1,0.507,1.0,5,8,14,15,396,29036,Z,0.314102564102564,4.02388777483855,15,613.35
WB-HYD-0928,ET Series Hydraulic Hose,WB,Wheel Balancer,ET Series,HYD,"Hydraulic pumps, hoses & seals",intermittent,High,SUP-002,Italy,630.0,Small Rack,Active,0.97,0.509,A,Anonymised/reconstructed warehouse transition dataset,D,3,1.0,0.08,92.54,R-H79,F,328,415,97,13204,415,97,1,0.102,1.0,2,3,5,4,80,66020,Z,0.0833333333333333,5.27195868601953,4,2520.0
WB-PNE-0100,ET Series Foot Pedal Valve,WB,Wheel Balancer,ET Series,PNE,Pneumatic valves & cylinders,intermittent,Medium,SUP-006,EU,270.0,Small Rack,Active,0.94,0.475,A,Anonymised/reconstructed warehouse transition dataset,D,3,1.0,0.08,92.92,R-D09,E,410,241,142,14031,410,142,1,0.095,1.0,2,3,5,3,75,70155,Z,0.0512820512820513,5.77396827817917,3,810.0
WA-CMP-0176,REMO Wheel Clamp,WA,Wheel Aligner,REMO,CMP,"Clamps, jaws & tooling",regular,Medium,SUP-005,Eastern Europe,425.0,Small Rack,Active,0.94,0.456,A,Anonymised/reconstructed warehouse transition dataset,D,3,1.0,0.08,93.02,R-B88,VER,941,752,159,112513,941,159,1,0.091,1.4,2,3,5,5,72,562565,Z,0.153846153846154,5.12363278379958,5,2125.0
WB-CMP-0590,ET Series Wheel Clamp,WB,Wheel Balancer,ET Series,CMP,"Clamps, jaws & tooling",regular,Low,SUP-006,EU,295.0,Small Rack,Active,0.9,0.923,A,Anonymised/reconstructed warehouse transition dataset,D,3,1.0,0.08,93.06,R-H11,D,211,164,103,3564,211,103,1,0.185,1.0,2,3,5,6,144,17820,Z,0.0576923076923077,6.30070827218518,6,1770.0
TC-SNS-0853,Basic Line TC Proximity Switch,TC,Tyre Changer,Basic Line TC,SNS,"Sensors, encoders & switches",intermittent,High,SUP-014,Eastern Europe,170.0,Electronics Cage,Active,0.97,0.505,A,Anonymised/reconstructed warehouse transition dataset,D,3,1.0,0.08,93.11,R-P81,PALLET,1089,480,424,221633,1089,424,1,0.101,1.6,2,3,5,4,79,1108165,Z,0.358974358974359,2.55018103373188,4,680.0
VL-BLT-0871,Scissor Lift Motor Belt,VL,Vehicle Lift,Scissor Lift,BLT,Belts & pulleys,regular,Critical,SUP-017,EU,180.0,Bin,Active,0.985,1.107,A,Anonymised/reconstructed warehouse transition dataset,D,3,1.0,0.08,93.63,R-A74,D,111,240,37,986,240,37,1,0.221,1.0,3,5,9,3,173,8874,Z,0.0512820512820513,5.77396827817917,6,1080.0
TC-CMP-0380,Artiglio Master Wheel Clamp,TC,Tyre Changer,Artiglio Master,CMP,"Clamps, jaws & tooling",regular,Medium,SUP-016,EU,530.0,Small Rack,Active,0.94,0.659,A,Anonymised/reconstructed warehouse transition dataset,D,3,1.0,0.08,93.77,R-B97,B,81,53,91,391,91,53,1,0.132,1.1,2,3,5,4,103,1955,Z,0.301282051282051,2.85697867279167,4,2120.0
VL-BLT-0622,Scissor Lift Timing Belt,VL,Vehicle Lift,Scissor Lift,BLT,Belts & pulleys,regular,High,SUP-019,EU,70.0,Bin,Active,0.97,1.032,A,Anonymised/reconstructed warehouse transition dataset,D,3,1.0,0.08,93.82,R-A77,B,133,125,92,1530,133,92,1,0.206,1.0,4,6,11,13,161,16830,Z,0.25,3.00107507618574,13,910.0
WB-BRG-0519,Eyelight Hub Shaft,WB,Wheel Balancer,Eyelight,BRG,Bearings & shafts,regular,Medium,SUP-003,EU,60.0,Bin,Active,0.94,1.269,A,Anonymised/reconstructed warehouse transition dataset,D,3,1.0,0.08,93.87,R-A77,E,175,232,27,1096,232,27,1,0.254,1.0,2,4,6,7,198,6576,Z,0.16025641025641,3.84964916709009,7,420.0
WB-BLT-0948,EM 9000 Transmission Pulley,WB,Wheel Balancer,EM 9000,BLT,Belts & pulleys,regular,High,SUP-005,Eastern Europe,65.0,Bin,Active,0.97,1.173,A,Anonymised/reconstructed warehouse transition dataset,D,3,1.0,0.08,93.96,R-F90,B,58,98,22,125,98,22,1,0.235,1.4,2,4,7,2,183,875,Z,0.0576923076923077,5.29800124615888,6,390.0
VL-PNE-0203,ERCO Lift Pressure Switch,VL,Vehicle Lift,ERCO Lift,PNE,Pneumatic valves & cylinders,intermittent,Low,SUP-005,Eastern Europe,135.0,Small Rack,Active,0.9,0.618,A,Anonymised/reconstructed warehouse transition dataset,D,3,1.0,0.08,94.06,R-B44,PALLET,895,722,170,109852,895,170,1,0.124,1.4,2,3,5,4,97,549260,Z,0.0512820512820513,8.22702078323265,4,540.0
VL-BRG-0381,Scissor Lift Bearing Set,VL,Vehicle Lift,Scissor Lift,BRG,Bearings & shafts,regular,High,SUP-019,EU,65.0,Bin,Active,0.97,1.338,A,Anonymised/reconstructed warehouse transition dataset,C,3,1.0,0.08,94.11,R-Y75,E,367,265,120,11671,367,120,1,0.268,1.0,1,3,6,2,209,70026,Z,0.198717948717949,4.65866057912148,6,390.0
TE-BRG-0323,Brake Tester Bearing Set,TE,Technical Control,Brake Tester,BRG,Bearings & shafts,regular,High,SUP-013,North America,80.0,Bin,Active,0.97,1.116,A,Anonymised/reconstructed warehouse transition dataset,D,3,1.0,0.08,94.15,R-C06,VER,1081,719,97,75392,1081,97,1,0.223,2.7,5,9,17,18,175,1281664,Z,0.134615384615385,4.99832756756491,18,1440.0
WB-SNS-0434,EM 9000 Speed Sensor,WB,Wheel Balancer,EM 9000,SNS,"Sensors, encoders & switches",intermittent,High,SUP-013,North America,140.0,Electronics Cage,Active,0.97,0.511,A,Anonymised/reconstructed warehouse transition dataset,D,3,1.0,0.08,94.3,R-I76,B,91,84,58,443,91,58,1,0.102,2.7,2,4,6,4,80,2658,Z,0.0576923076923077,5.29800124615888,3,420.0
VL-CMP-0289,ERCO Lift Wheel Clamp,VL,Vehicle Lift,ERCO Lift,CMP,"Clamps, jaws & tooling",regular,Low,SUP-002,Italy,295.0,Small Rack,Phase-out,0.9,0.697,A,Anonymised/reconstructed warehouse transition dataset,D,3,1.0,0.08,94.39,R-Z92,F,332,498,79,13062,498,79,0,0.139,1.0,1,2,3,3,109,39186,Z,0.0384615384615385,6.5273617651317,3,885.0
WB-CON-0714,EM 9000 O-Ring Kit,WB,Wheel Balancer,EM 9000,CON,Consumables & service kits,frequent,Low,SUP-006,EU,41.66,Bin,Active,0.9,2.282,A,Anonymised/reconstructed warehouse transition dataset,C,3,1.0,0.08,94.53,R-T04,F,291,277,50,4030,291,50,1,0.456,1.0,4,7,13,10,356,52390,Z,0.403846153846154,2.94708409440556,10,416.59999999999997
VL-SNS-0416,Two-Post Lift Load Cell,VL,Vehicle Lift,Two-Post Lift,SNS,"Sensors, encoders & switches",intermittent,High,SUP-018,EU,155.0,Electronics Cage,Active,0.97,0.523,A,Anonymised/reconstructed warehouse transition dataset,D,3,1.0,0.08,94.67,R-L14,PALLET,993,797,570,451110,993,570,1,0.105,1.3,1,2,3,1,82,1353330,Z,0.0641025641025641,5.2206043402483,2,310.0
WB-CMP-0351,Mobile Balancer Turntable Clamp,WB,Wheel Balancer,Mobile Balancer,CMP,"Clamps, jaws & tooling",regular,Medium,SUP-002,Italy,115.0,Small Rack,Active,0.94,0.591,A,Anonymised/reconstructed warehouse transition dataset,D,3,1.0,0.08,94.77,R-N87,E,175,176,49,1509,176,49,1,0.118,1.0,2,3,5,6,93,7545,Z,0.0448717948717949,5.27555381652954,6,690.0
WA-CMP-0084,Camera Aligner Cone Adaptor,WA,Wheel Aligner,Camera Aligner,CMP,"Clamps, jaws & tooling",regular,Medium,SUP-005,Eastern Europe,125.0,Small Rack,Active,0.94,0.674,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,94.91,R-H93,E,173,287,40,1986,287,40,1,0.135,1.4,2,3,5,3,106,9930,Z,0.0576923076923077,7.6865100842961,3,375.0
AD-BRG-0029,Radar Calibration Hub Shaft,AD,ADAS & Diagnosis,Radar Calibration,BRG,Bearings & shafts,regular,High,SUP-012,Italy,50.0,Bin,Active,0.97,1.564,A,Anonymised/reconstructed warehouse transition dataset,C,2,0.7,0.06,94.94,R-N82,B,99,84,104,865,104,84,1,0.313,1.0,2,4,7,3,244,6055,Z,0.185897435897436,3.85515430577531,6,300.0
WA-HYD-0287,Exact Precision Hose Coupling,WA,Wheel Aligner,Exact Precision,HYD,"Hydraulic pumps, hoses & seals",intermittent,High,SUP-015,EU,250.0,Small Rack,Active,0.97,0.555,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,95.01,R-E96,PALLET,722,790,792,451741,792,722,1,0.111,1.4,1,2,4,5,87,1806964,Z,0.282051282051282,2.89844091609062,5,1250.0
WB-CMP-0518,Mobile Balancer Jaw Cover,WB,Wheel Balancer,Mobile Balancer,CMP,"Clamps, jaws & tooling",regular,Medium,SUP-018,EU,230.0,Small Rack,Active,0.94,0.562,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,95.07,R-C28,E,325,197,30,1921,325,30,1,0.112,1.3,1,2,3,3,88,5763,Z,0.121794871794872,4.30871091208093,3,690.0
WA-SNS-0858,Exact Precision Speed Sensor,WA,Wheel Aligner,Exact Precision,SNS,"Sensors, encoders & switches",intermittent,High,SUP-015,EU,320.0,Electronics Cage,Active,0.97,0.616,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,95.13,R-S97,ORANGE,601,409,533,131016,601,409,1,0.123,1.4,2,3,5,5,97,655080,Z,0.0448717948717949,5.27555381652954,5,1600.0
TE-SNS-0772,Test Lane Proximity Switch,TE,Technical Control,Test Lane,SNS,"Sensors, encoders & switches",intermittent,Medium,SUP-019,EU,400.0,Electronics Cage,Active,0.94,0.529,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,95.2,R-Y94,VER,1299,610,113,89540,1299,113,1,0.106,1.0,1,2,4,4,83,358160,Z,0.134615384615385,4.85378034870444,4,1600.0
TC-HYD-0617,Artiglio Master Hydraulic Seal Kit,TC,Tyre Changer,Artiglio Master,HYD,"Hydraulic pumps, hoses & seals",intermittent,High,SUP-008,EU,300.0,Small Rack,Active,0.97,0.6,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,95.29,R-Z49,PALLET,744,496,378,139491,744,378,1,0.12,1.1,2,3,5,5,94,697455,Z,0.282051282051282,2.540590241196,5,1500.0
TC-BLT-0523,Basic Line TC Pulley Wheel,TC,Tyre Changer,Basic Line TC,BLT,Belts & pulleys,regular,Medium,SUP-016,EU,80.0,Bin,Active,0.94,0.819,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,95.58,R-S97,VER,1078,592,186,118701,1078,186,1,0.164,1.1,2,3,5,5,128,593505,Z,0.0448717948717949,6.37560359997306,5,400.0
TC-BLT-0221,Artiglio Master Belt Tensioner,TC,Tyre Changer,Artiglio Master,BLT,Belts & pulleys,regular,Medium,SUP-010,EU,85.0,Bin,Active,0.94,0.995,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,95.7,R-Q78,D,110,161,52,921,161,52,1,0.199,1.1,2,4,7,8,156,6447,Z,0.108974358974359,5.27134888791414,8,680.0
WB-PNE-0790,Mobile Balancer Air Regulator,WB,Wheel Balancer,Mobile Balancer,PNE,Pneumatic valves & cylinders,intermittent,High,SUP-008,EU,130.0,Small Rack,Active,0.97,0.492,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,95.73,R-B37,B,124,20,65,161,124,20,1,0.098,1.1,1,2,4,3,77,644,Z,0.314102564102564,2.88870556638373,3,390.0
AD-CMP-0013,Diagnostic Console Cone Adaptor,AD,ADAS & Diagnosis,Diagnostic Console,CMP,"Clamps, jaws & tooling",regular,Low,SUP-013,North America,95.0,Small Rack,Active,0.9,1.028,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,95.76,R-E38,ORANGE,869,579,835,420131,869,579,1,0.206,2.7,2,5,7,5,161,2940917,Z,0.275641025641026,2.901556537271,5,475.0
VL-PNE-0530,Scissor Lift Manifold Valve,VL,Vehicle Lift,Scissor Lift,PNE,Pneumatic valves & cylinders,intermittent,High,SUP-019,EU,90.0,Small Rack,Active,0.97,0.558,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,95.8,R-P41,F,255,282,29,2085,282,29,1,0.112,1.0,1,2,3,1,88,6255,Z,0.0641025641025641,6.78936549840762,2,180.0
TE-BRG-0096,Inspection Line Bearing Set,TE,Technical Control,Inspection Line,BRG,Bearings & shafts,regular,Low,SUP-009,Italy,180.0,Bin,Phase-out,0.9,1.107,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,95.86,R-G89,D,228,205,106,4954,228,106,0,0.221,1.0,1,3,5,5,173,24770,Z,0.0384615384615385,7.7492975748274,5,900.0
WA-BLT-0270,Camera Aligner Belt Tensioner,WA,Wheel Aligner,Camera Aligner,BLT,Belts & pulleys,regular,High,SUP-001,Italy,130.0,Bin,Active,0.97,1.124,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,95.89,R-B70,E,193,234,65,2936,234,65,1,0.225,1.0,2,4,7,9,176,20552,Z,0.0961538461538462,6.22643687264492,9,1170.0
TC-BLT-0026,A2024 LL Belt Tensioner,TC,Tyre Changer,A2024 LL,BLT,Belts & pulleys,regular,Low,SUP-014,Eastern Europe,90.0,Bin,Active,0.9,0.809,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,95.99,R-E05,D,234,107,73,1828,234,73,1,0.162,1.6,1,3,5,3,127,9140,Z,0.0705128205128205,5.12275335857654,3,270.0
VL-CMP-0383,Scissor Lift Clamping Jaw,VL,Vehicle Lift,Scissor Lift,CMP,"Clamps, jaws & tooling",regular,High,SUP-001,Italy,185.0,Small Rack,Active,0.97,0.669,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,96.3,R-E20,E,256,236,64,3867,256,64,1,0.134,1.0,2,3,5,6,105,19335,Z,0.115384615384615,4.50726216082223,6,1110.0
AD-CAB-0317,Camera Calibration Usb Interface Cable,AD,ADAS & Diagnosis,Camera Calibration,CAB,"Cables, connectors & harnesses",intermittent,Medium,SUP-012,Italy,100.0,Bin,Active,0.94,0.638,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,96.33,R-H43,B,131,113,44,651,131,44,1,0.128,1.0,2,3,6,3,100,3906,Z,0.17948717948718,3.37785063579031,3,300.0
WA-BLT-0016,REMO Poly-V Belt,WA,Wheel Aligner,REMO,BLT,Belts & pulleys,regular,Low,SUP-013,North America,135.0,Bin,Active,0.9,0.728,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,96.37,R-N01,F,452,520,168,39487,520,168,1,0.146,2.7,3,5,9,10,114,355383,Z,0.185897435897436,5.21380546284532,10,1350.0
AD-BLT-0184,Diagnostic Console Timing Belt,AD,ADAS & Diagnosis,Diagnostic Console,BLT,Belts & pulleys,regular,High,SUP-011,EU,85.0,Bin,Active,0.97,0.824,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,96.4,R-M37,B,93,128,21,250,128,21,1,0.165,1.0,3,4,7,3,129,1750,Z,0.211538461538462,2.73858845068271,6,510.0
WA-PNE-0627,Exact Precision Pressure Switch,WA,Wheel Aligner,Exact Precision,PNE,Pneumatic valves & cylinders,intermittent,Critical,SUP-004,EU,170.0,Small Rack,Active,0.985,0.524,A,Anonymised/reconstructed warehouse transition dataset,D,2,0.7,0.06,96.43,R-S76,D,97,121,110,1291,121,97,1,0.105,1.0,2,3,5,2,82,6455,Z,0.275641025641026,2.55947588364633,4,680.0
