Part_ID,Part_Name,Equipment_Family,Equipment_Model,Part_Category,Demand_Profile,Criticality,Supplier_ID,Supplier_Region,Unit_Cost_EUR,Storage_Type,Lifecycle_Status,ABC_Class,Movement_Class,Manual_Location,UDC_Type,Dim_X_mm,Dim_Y_mm,Dim_Z_mm,Unit_Volume_cm3,Max_Dimension_mm,Stock_Managed
WA-CON-0241,Exact Precision Filter Kit,Wheel Aligner,Exact Precision,Consumables & service kits,frequent,Medium,SUP-001,Italy,4.7,Bin,Active,C,B,R-B55,D,190,136,35,904,190,1
AD-CON-0798,Radar Calibration Lubrication Kit,ADAS & Diagnosis,Radar Calibration,Consumables & service kits,frequent,High,SUP-005,Eastern Europe,30.37,Bin,Active,A,B,R-S24,B,73,48,87,305,87,1
WB-CON-0165,Mobile Balancer O-Ring Kit,Wheel Balancer,Mobile Balancer,Consumables & service kits,frequent,Medium,SUP-002,Italy,34.17,Bin,Active,A,B,R-E56,VER,1364,413,43,24223,1364,1
AD-CON-0588,Radar Calibration O-Ring Kit,ADAS & Diagnosis,Radar Calibration,Consumables & service kits,frequent,Medium,SUP-013,North America,27.55,Bin,Active,A,B,R-A36,F,583,214,49,6113,583,1
AD-CON-0632,Diagnostic Console Service Seal Pack,ADAS & Diagnosis,Diagnostic Console,Consumables & service kits,frequent,Medium,SUP-013,North America,32.95,Bin,Phase-out,A,B,R-S20,E,392,327,172,22048,392,0
TE-CON-0893,Suspension Tester Grease Cartridge,Technical Control,Suspension Tester,Consumables & service kits,frequent,High,SUP-005,Eastern Europe,5.25,Bin,Active,C,B,R-C81,D,172,158,119,3234,172,1
AD-CON-0483,SCE Calibration Protective Cover,ADAS & Diagnosis,SCE Calibration,Consumables & service kits,frequent,Low,SUP-016,EU,5.34,Bin,Active,C,B,R-P98,E,336,225,61,4612,336,1
WB-CON-0087,ET Series Grease Cartridge,Wheel Balancer,ET Series,Consumables & service kits,frequent,High,SUP-004,EU,7.88,Bin,Active,B,B,R-I26,B,83,83,91,627,91,1
WB-CON-0665,EM 9000 Lubrication Kit,Wheel Balancer,EM 9000,Consumables & service kits,frequent,Medium,SUP-014,Eastern Europe,8.89,Bin,Active,B,B,R-B73,E,336,126,36,1524,336,1
WB-CON-0763,Mobile Balancer Grease Cartridge,Wheel Balancer,Mobile Balancer,Consumables & service kits,frequent,Low,SUP-005,Eastern Europe,5.3,Bin,Active,C,B,R-I40,B,100,93,14,130,100,1
TC-CON-0981,HD1200 Truck O-Ring Kit,Tyre Changer,HD1200 Truck,Consumables & service kits,frequent,Low,SUP-013,North America,24.6,Bin,Active,A,B,R-Y01,E,349,280,15,1466,349,1
TE-CON-0986,Suspension Tester Lubrication Kit,Technical Control,Suspension Tester,Consumables & service kits,frequent,Medium,SUP-016,EU,16.88,Bin,Active,B,B,R-M42,B,23,23,5,3,23,1
WB-CON-0120,EM 9000 Rubber Pad,Wheel Balancer,EM 9000,Consumables & service kits,frequent,Medium,SUP-012,Italy,6.28,Bin,Active,C,B,R-G35,E,190,297,49,2765,297,1
TC-CON-0491,HD1200 Truck Protective Cover,Tyre Changer,HD1200 Truck,Consumables & service kits,frequent,Medium,SUP-016,EU,2.7,Bin,Active,C,B,R-C44,F,257,432,171,18985,432,1
VL-CON-0898,ERCO Lift Protective Cover,Vehicle Lift,ERCO Lift,Consumables & service kits,frequent,High,SUP-008,EU,3.27,Bin,Active,C,B,R-F98,B,55,142,47,367,142,1
VL-CON-0279,Two-Post Lift Rubber Pad,Vehicle Lift,Two-Post Lift,Consumables & service kits,frequent,Medium,SUP-018,EU,2.28,Bin,New,C,B,R-N19,D,106,111,87,1024,111,1
TC-CON-0576,A2024 LL Service Seal Pack,Tyre Changer,A2024 LL,Consumables & service kits,frequent,Medium,SUP-006,EU,13.41,Bin,New,B,B,R-E44,PALLET,1076,545,255,149537,1076,1
TC-CON-0433,HD1200 Truck O-Ring Kit,Tyre Changer,HD1200 Truck,Consumables & service kits,frequent,Low,SUP-018,EU,25.82,Bin,Active,A,B,R-Y61,D,236,95,108,2421,236,1
WB-CON-0813,Eyelight Rubber Pad,Wheel Balancer,Eyelight,Consumables & service kits,frequent,Medium,SUP-019,EU,32.38,Bin,Active,A,B,R-Y74,E,166,370,45,2764,370,1
TC-CON-0699,HD1200 Truck Service Seal Pack,Tyre Changer,HD1200 Truck,Consumables & service kits,frequent,Medium,SUP-012,Italy,7.21,Bin,Active,B,B,R-Y47,D,83,244,26,527,244,1
TC-CON-0347,A2024 LL Protective Cover,Tyre Changer,A2024 LL,Consumables & service kits,frequent,Medium,SUP-014,Eastern Europe,18.94,Bin,Active,A,B,R-N62,B,58,67,50,194,67,1
TC-CON-0471,Basic Line TC Filter Kit,Tyre Changer,Basic Line TC,Consumables & service kits,frequent,Medium,SUP-013,North America,10.13,Bin,Phase-out,B,B,R-T88,B,58,49,34,97,58,0
WA-CON-0260,REMO Rubber Pad,Wheel Aligner,REMO,Consumables & service kits,frequent,Low,SUP-018,EU,19.25,Bin,Active,A,B,R-H95,B,41,85,112,390,112,1
TE-CON-0635,Test Lane O-Ring Kit,Technical Control,Test Lane,Consumables & service kits,frequent,Low,SUP-006,EU,9.25,Bin,Active,B,B,R-Y87,E,387,341,50,6598,387,1
WA-CON-0328,REMO Lubrication Kit,Wheel Aligner,REMO,Consumables & service kits,frequent,Medium,SUP-010,EU,31.24,Bin,Active,A,B,R-E80,B,37,109,57,230,109,1
TC-CON-0700,A2024 LL Lubrication Kit,Tyre Changer,A2024 LL,Consumables & service kits,frequent,Medium,SUP-018,EU,26.62,Bin,Active,A,B,R-F72,D,278,80,136,3025,278,1
VL-CON-0238,Scissor Lift Filter Kit,Vehicle Lift,Scissor Lift,Consumables & service kits,frequent,Medium,SUP-005,Eastern Europe,9.15,Bin,Active,B,B,R-Z89,D,265,169,96,4299,265,1
TC-CON-0067,Basic Line TC O-Ring Kit,Tyre Changer,Basic Line TC,Consumables & service kits,frequent,Medium,SUP-020,EU,13.72,Bin,Active,B,B,R-N15,D,169,213,79,2844,213,1
AD-CON-0771,Camera Calibration Air Filter,ADAS & Diagnosis,Camera Calibration,Consumables & service kits,frequent,Medium,SUP-015,EU,4.63,Bin,New,C,B,R-I26,E,163,319,166,8632,319,1
WA-CON-0741,3D Aligner Rubber Pad,Wheel Aligner,3D Aligner,Consumables & service kits,frequent,Medium,SUP-011,EU,19.86,Bin,Phase-out,A,B,R-S32,PALLET,785,418,200,65626,785,0
TC-CON-0333,HD1200 Truck Service Seal Pack,Tyre Changer,HD1200 Truck,Consumables & service kits,frequent,High,SUP-012,Italy,2.18,Bin,Active,C,B,R-L16,D,225,174,110,4306,225,1
AD-CON-0592,Diagnostic Console Lubrication Kit,ADAS & Diagnosis,Diagnostic Console,Consumables & service kits,frequent,Medium,SUP-007,Eastern Europe,8.36,Bin,Active,B,B,R-G17,E,149,368,47,2577,368,1
VL-CON-0387,ERCO Lift Filter Kit,Vehicle Lift,ERCO Lift,Consumables & service kits,frequent,High,SUP-013,North America,4.44,Bin,Active,C,B,R-G14,E,348,131,132,6018,348,1
TC-CON-0740,Artiglio Master Protective Cover,Tyre Changer,Artiglio Master,Consumables & service kits,frequent,Medium,SUP-017,EU,12.19,Bin,Active,B,B,R-S07,D,173,234,146,5910,234,1
VL-CON-0350,Alignment Lift O-Ring Kit,Vehicle Lift,Alignment Lift,Consumables & service kits,frequent,High,SUP-016,EU,4.56,Bin,Active,C,B,R-I48,F,495,584,95,27463,584,1
TC-CON-0303,A2024 LL Lubrication Kit,Tyre Changer,A2024 LL,Consumables & service kits,frequent,Medium,SUP-005,Eastern Europe,6.75,Bin,Active,B,B,R-H59,B,48,136,19,124,136,1
VL-CON-0536,Two-Post Lift Rubber Pad,Vehicle Lift,Two-Post Lift,Consumables & service kits,frequent,Low,SUP-014,Eastern Europe,29.82,Bin,Active,A,B,R-Z95,B,21,136,48,137,136,1
VL-CON-0678,Two-Post Lift Grease Cartridge,Vehicle Lift,Two-Post Lift,Consumables & service kits,frequent,Medium,SUP-014,Eastern Europe,15.41,Bin,Active,A,B,R-G18,E,393,378,149,22135,393,1
TC-CON-0795,Basic Line TC Rubber Pad,Tyre Changer,Basic Line TC,Consumables & service kits,frequent,Medium,SUP-004,EU,37.69,Bin,Active,A,B,R-L17,D,250,245,117,7166,250,1
WA-CON-0721,3D Aligner Grease Cartridge,Wheel Aligner,3D Aligner,Consumables & service kits,frequent,Medium,SUP-006,EU,3.04,Bin,Active,C,B,R-Q31,E,214,130,82,2281,214,1
WB-CON-0591,Eyelight Protective Cover,Wheel Balancer,Eyelight,Consumables & service kits,frequent,Low,SUP-007,Eastern Europe,9.01,Bin,Active,B,B,R-C60,F,628,389,132,32247,628,1
TC-CON-0773,Basic Line TC O-Ring Kit,Tyre Changer,Basic Line TC,Consumables & service kits,frequent,Low,SUP-003,EU,3.48,Bin,Active,C,B,R-P98,B,117,112,92,1206,117,1
WA-CON-0686,REMO Lubrication Kit,Wheel Aligner,REMO,Consumables & service kits,frequent,Low,SUP-009,Italy,2.59,Bin,New,C,B,R-C37,F,271,351,146,13888,351,1
TE-CON-0247,Test Lane O-Ring Kit,Technical Control,Test Lane,Consumables & service kits,frequent,High,SUP-001,Italy,12.44,Bin,Phase-out,B,B,R-M40,D,213,249,34,1803,249,0
WB-CON-0290,Mobile Balancer Protective Cover,Wheel Balancer,Mobile Balancer,Consumables & service kits,frequent,Critical,SUP-007,Eastern Europe,33.94,Bin,Active,A,B,R-N39,D,264,164,64,2771,264,1
VL-CON-0158,Two-Post Lift Air Filter,Vehicle Lift,Two-Post Lift,Consumables & service kits,frequent,Medium,SUP-008,EU,14.14,Bin,Active,B,B,R-S04,D,223,174,151,5859,223,1
VL-CON-0653,Scissor Lift Protective Cover,Vehicle Lift,Scissor Lift,Consumables & service kits,frequent,Medium,SUP-016,EU,2.63,Bin,Active,C,B,R-P82,F,416,591,198,48679,591,1
TC-CON-0376,HD1200 Truck Air Filter,Tyre Changer,HD1200 Truck,Consumables & service kits,frequent,Medium,SUP-018,EU,3.54,Bin,Active,C,B,R-A16,B,138,28,62,240,138,1
WB-CON-0025,Eyelight Service Seal Pack,Wheel Balancer,Eyelight,Consumables & service kits,frequent,Low,SUP-004,EU,11.43,Bin,Phase-out,B,B,R-P42,D,252,229,169,9753,252,0
WB-CON-0195,Eyelight Grease Cartridge,Wheel Balancer,Eyelight,Consumables & service kits,frequent,Medium,SUP-014,Eastern Europe,7.18,Bin,Active,B,B,R-N66,D,276,121,62,2071,276,1
TC-CON-0796,HD1200 Truck Filter Kit,Tyre Changer,HD1200 Truck,Consumables & service kits,frequent,Medium,SUP-012,Italy,3.45,Bin,Active,C,B,R-C42,E,370,242,125,11192,370,1
TE-CON-0310,Brake Tester Rubber Pad,Technical Control,Brake Tester,Consumables & service kits,frequent,Medium,SUP-018,EU,18.47,Bin,Active,A,B,R-B30,D,210,162,19,646,210,1
TC-CON-0268,Artiglio Master Service Seal Pack,Tyre Changer,Artiglio Master,Consumables & service kits,frequent,Medium,SUP-001,Italy,15.04,Bin,Phase-out,B,B,R-P13,B,111,48,83,442,111,0
WB-CON-0135,ET Series Lubrication Kit,Wheel Balancer,ET Series,Consumables & service kits,frequent,Medium,SUP-015,EU,2.39,Bin,Active,C,B,R-Z32,B,54,25,16,22,54,1
WB-CON-0217,ET Series Lubrication Kit,Wheel Balancer,ET Series,Consumables & service kits,frequent,Low,SUP-001,Italy,25.41,Bin,Active,A,B,R-C39,B,130,57,81,600,130,1
TC-CON-0190,HD1200 Truck Service Seal Pack,Tyre Changer,HD1200 Truck,Consumables & service kits,frequent,Medium,SUP-016,EU,3.18,Bin,Active,C,B,R-Q29,E,266,186,150,7421,266,1
WB-CON-0925,Eyelight Air Filter,Wheel Balancer,Eyelight,Consumables & service kits,frequent,Low,SUP-007,Eastern Europe,29.25,Bin,Active,A,B,R-Y93,B,27,141,88,335,141,1
WB-CON-0912,Mobile Balancer Air Filter,Wheel Balancer,Mobile Balancer,Consumables & service kits,frequent,Low,SUP-005,Eastern Europe,14.46,Bin,New,B,B,R-N57,B,104,64,12,80,104,1
TC-CON-0575,HD1200 Truck Protective Cover,Tyre Changer,HD1200 Truck,Consumables & service kits,frequent,Low,SUP-002,Italy,2.21,Bin,Active,C,C,R-T56,F,592,195,96,11082,592,1
AD-CON-0111,Diagnostic Console Filter Kit,ADAS & Diagnosis,Diagnostic Console,Consumables & service kits,frequent,Low,SUP-001,Italy,23.29,Bin,Active,A,C,R-N10,B,28,79,82,181,82,1
VL-CON-0075,Alignment Lift O-Ring Kit,Vehicle Lift,Alignment Lift,Consumables & service kits,frequent,Medium,SUP-017,EU,34.65,Bin,Active,A,C,R-G84,ORANGE,932,726,114,77136,932,1
WB-CON-0696,Eyelight Air Filter,Wheel Balancer,Eyelight,Consumables & service kits,frequent,Low,SUP-012,Italy,4.67,Bin,Active,C,C,R-E65,D,150,181,31,842,181,1
WA-CON-0179,3D Aligner Protective Cover,Wheel Aligner,3D Aligner,Consumables & service kits,frequent,Low,SUP-019,EU,29.45,Bin,Active,B,C,R-Y03,E,232,120,24,668,232,1
TC-BRG-0372,HD1200 Truck Main Shaft,Tyre Changer,HD1200 Truck,Bearings & shafts,regular,Medium,SUP-009,Italy,120.0,Bin,Active,A,C,R-P14,B,129,132,93,1584,132,1
TC-CON-0982,A2024 LL Air Filter,Tyre Changer,A2024 LL,Consumables & service kits,frequent,Low,SUP-005,Eastern Europe,11.71,Bin,Active,C,C,R-Z68,B,69,31,93,199,93,1
WB-BRG-0500,ET Series Spindle Bearing,Wheel Balancer,ET Series,Bearings & shafts,regular,Medium,SUP-018,EU,240.0,Bin,Active,A,C,R-Z62,E,307,273,126,10560,307,1
AD-BRG-0273,Diagnostic Console Main Shaft,ADAS & Diagnosis,Diagnostic Console,Bearings & shafts,regular,High,SUP-010,EU,85.0,Bin,Active,A,C,R-E25,E,398,290,148,17082,398,1
WB-CON-0490,ET Series O-Ring Kit,Wheel Balancer,ET Series,Consumables & service kits,frequent,Low,SUP-016,EU,11.51,Bin,Active,B,C,R-T65,E,144,137,155,3058,155,1
TE-CON-0872,Suspension Tester O-Ring Kit,Technical Control,Suspension Tester,Consumables & service kits,frequent,Medium,SUP-007,Eastern Europe,17.37,Bin,New,B,C,R-Q79,B,62,97,32,192,97,1
VL-CON-0412,ERCO Lift O-Ring Kit,Vehicle Lift,ERCO Lift,Consumables & service kits,frequent,Medium,SUP-013,North America,13.2,Bin,Active,B,C,R-I15,E,265,211,70,3914,265,1
AD-BRG-0980,Camera Calibration Hub Shaft,ADAS & Diagnosis,Camera Calibration,Bearings & shafts,regular,Medium,SUP-004,EU,115.0,Bin,Active,A,C,R-Y88,E,274,279,125,9556,279,1
WB-CON-0693,Mobile Balancer Grease Cartridge,Wheel Balancer,Mobile Balancer,Consumables & service kits,frequent,Medium,SUP-004,EU,32.22,Bin,Phase-out,A,C,R-D12,D,216,147,55,1746,216,0
TC-CMP-0608,HD1200 Truck Mounting Head,Tyre Changer,HD1200 Truck,"Clamps, jaws & tooling",regular,High,SUP-014,Eastern Europe,430.0,Small Rack,Active,A,C,R-E61,F,498,502,173,43249,502,1
WB-BRG-0188,Mobile Balancer Bearing Set,Wheel Balancer,Mobile Balancer,Bearings & shafts,regular,Medium,SUP-018,EU,255.0,Bin,Active,A,C,R-E43,E,125,213,27,719,213,1
TE-CON-0263,Brake Tester Filter Kit,Technical Control,Brake Tester,Consumables & service kits,frequent,Medium,SUP-004,EU,15.5,Bin,Active,B,C,R-F39,D,276,104,157,4507,276,1
VL-CON-0770,ERCO Lift Air Filter,Vehicle Lift,ERCO Lift,Consumables & service kits,frequent,Low,SUP-013,North America,36.09,Bin,Active,A,C,R-Q88,B,137,101,115,1591,137,1
WA-CON-0410,Exact Precision Grease Cartridge,Wheel Aligner,Exact Precision,Consumables & service kits,frequent,Medium,SUP-015,EU,12.53,Bin,Active,B,C,R-M62,D,161,145,54,1261,161,1
WB-CON-0498,EM 9000 O-Ring Kit,Wheel Balancer,EM 9000,Consumables & service kits,frequent,Low,SUP-004,EU,3.24,Bin,Active,C,C,R-P98,B,133,82,80,872,133,1
WB-CON-0822,ET Series Service Seal Pack,Wheel Balancer,ET Series,Consumables & service kits,frequent,Medium,SUP-019,EU,5.73,Bin,Active,C,C,R-G52,D,284,193,120,6577,284,1
WB-CON-0934,EM 9000 Protective Cover,Wheel Balancer,EM 9000,Consumables & service kits,frequent,Medium,SUP-003,EU,7.35,Bin,Active,C,C,R-D59,D,262,226,44,2605,262,1
TC-CON-0907,Artiglio Master Lubrication Kit,Tyre Changer,Artiglio Master,Consumables & service kits,frequent,Medium,SUP-011,EU,16.61,Bin,Active,B,C,R-H20,B,72,45,114,369,114,1
WA-CON-0829,Camera Aligner Protective Cover,Wheel Aligner,Camera Aligner,Consumables & service kits,frequent,Low,SUP-009,Italy,42.26,Bin,Active,A,C,R-P74,B,33,137,49,222,137,1
VL-CON-0594,Scissor Lift Grease Cartridge,Vehicle Lift,Scissor Lift,Consumables & service kits,frequent,Low,SUP-011,EU,4.88,Bin,Active,C,C,R-M98,B,70,138,90,869,138,1
WA-CON-0456,Camera Aligner Rubber Pad,Wheel Aligner,Camera Aligner,Consumables & service kits,frequent,Medium,SUP-007,Eastern Europe,15.01,Bin,Active,B,C,R-I03,E,270,195,106,5581,270,1
WB-CON-0992,Mobile Balancer Air Filter,Wheel Balancer,Mobile Balancer,Consumables & service kits,frequent,Low,SUP-002,Italy,13.59,Bin,Active,B,C,R-F05,F,436,468,166,33872,468,1
WB-CON-0341,ET Series Lubrication Kit,Wheel Balancer,ET Series,Consumables & service kits,frequent,Low,SUP-003,EU,42.6,Bin,Active,A,C,R-E54,B,47,142,56,374,142,1
TC-CON-0388,Artiglio Master Protective Cover,Tyre Changer,Artiglio Master,Consumables & service kits,frequent,Medium,SUP-002,Italy,7.32,Bin,Active,C,C,R-S87,F,502,305,196,30010,502,1
VL-CON-0513,ERCO Lift Filter Kit,Vehicle Lift,ERCO Lift,Consumables & service kits,frequent,Medium,SUP-009,Italy,5.07,Bin,Active,C,C,R-Y09,D,116,233,108,2919,233,1
VL-CON-0112,ERCO Lift Lubrication Kit,Vehicle Lift,ERCO Lift,Consumables & service kits,frequent,Medium,SUP-003,EU,22.55,Bin,Active,A,C,R-C20,B,117,146,103,1759,146,1
TC-CON-0394,Artiglio Master Lubrication Kit,Tyre Changer,Artiglio Master,Consumables & service kits,frequent,Low,SUP-010,EU,16.45,Bin,Active,B,C,R-Y61,B,99,57,81,457,99,1
AD-CON-0762,SCE Calibration Air Filter,ADAS & Diagnosis,SCE Calibration,Consumables & service kits,frequent,Low,SUP-019,EU,3.39,Bin,Active,C,C,R-L35,D,205,166,63,2144,205,1
WA-BRG-0697,Exact Precision Hub Shaft,Wheel Aligner,Exact Precision,Bearings & shafts,regular,Medium,SUP-017,EU,95.0,Bin,Active,A,C,R-Z82,E,269,135,42,1525,269,1
TE-BLT-0717,Brake Tester Drive Belt,Technical Control,Brake Tester,Belts & pulleys,regular,High,SUP-004,EU,115.0,Bin,New,A,C,R-Y88,E,292,165,86,4143,292,1
WA-BLT-0849,Camera Aligner Drive Belt,Wheel Aligner,Camera Aligner,Belts & pulleys,regular,High,SUP-001,Italy,70.0,Bin,Active,A,C,R-C32,B,104,45,108,505,108,1
AD-CMP-0746,Camera Calibration Turntable Clamp,ADAS & Diagnosis,Camera Calibration,"Clamps, jaws & tooling",regular,High,SUP-001,Italy,95.0,Small Rack,Active,A,C,R-C13,B,104,84,10,87,104,1
AD-CON-0280,Diagnostic Console Lubrication Kit,ADAS & Diagnosis,Diagnostic Console,Consumables & service kits,frequent,High,SUP-010,EU,2.21,Bin,Active,C,C,R-S89,D,230,194,73,3257,230,1
TC-CON-0857,Artiglio Master O-Ring Kit,Tyre Changer,Artiglio Master,Consumables & service kits,frequent,Medium,SUP-010,EU,6.99,Bin,Active,C,C,R-I68,B,106,126,27,361,126,1
AD-CON-0354,SCE Calibration Service Seal Pack,ADAS & Diagnosis,SCE Calibration,Consumables & service kits,frequent,Medium,SUP-017,EU,10.0,Bin,Active,B,C,R-Q98,B,115,96,111,1225,115,1
WB-CON-0118,ET Series Air Filter,Wheel Balancer,ET Series,Consumables & service kits,frequent,Medium,SUP-005,Eastern Europe,12.42,Bin,Active,B,C,R-M56,B,106,76,107,862,107,1
VL-BRG-0283,Two-Post Lift Balancer Shaft,Vehicle Lift,Two-Post Lift,Bearings & shafts,regular,Medium,SUP-019,EU,180.0,Bin,Active,A,C,R-C92,E,207,287,149,8852,287,1
VL-CON-0001,Two-Post Lift Protective Cover,Vehicle Lift,Two-Post Lift,Consumables & service kits,frequent,Low,SUP-011,EU,7.74,Bin,New,C,C,R-I67,F,299,519,110,17070,519,1
AD-CON-0902,Radar Calibration Rubber Pad,ADAS & Diagnosis,Radar Calibration,Consumables & service kits,frequent,Medium,SUP-015,EU,2.47,Bin,Active,C,C,R-B76,D,213,170,146,5287,213,1
WA-CON-0466,3D Aligner Protective Cover,Wheel Aligner,3D Aligner,Consumables & service kits,frequent,Low,SUP-014,Eastern Europe,3.24,Bin,Active,C,C,R-L09,F,494,288,76,10813,494,1
WA-CON-0939,3D Aligner Air Filter,Wheel Aligner,3D Aligner,Consumables & service kits,frequent,Medium,SUP-016,EU,5.71,Bin,Active,C,C,R-S40,B,50,40,94,188,94,1
WA-CMP-0368,REMO Cone Adaptor,Wheel Aligner,REMO,"Clamps, jaws & tooling",regular,High,SUP-009,Italy,135.0,Small Rack,Active,A,C,R-E11,E,415,231,59,5656,415,1
WB-BLT-0401,Mobile Balancer Drive Belt,Wheel Balancer,Mobile Balancer,Belts & pulleys,regular,High,SUP-005,Eastern Europe,55.0,Bin,Active,A,C,R-B88,B,96,106,24,244,106,1
VL-CON-0976,Scissor Lift Service Seal Pack,Vehicle Lift,Scissor Lift,Consumables & service kits,frequent,Medium,SUP-012,Italy,15.03,Bin,Active,B,C,R-S38,D,180,196,101,3563,196,1
TE-BRG-0477,Test Lane Roller Bearing,Technical Control,Test Lane,Bearings & shafts,regular,High,SUP-018,EU,85.0,Bin,Active,A,C,R-H05,VER,527,674,54,19181,674,1
WB-CON-0365,Eyelight Lubrication Kit,Wheel Balancer,Eyelight,Consumables & service kits,frequent,Low,SUP-009,Italy,8.49,Bin,Active,C,C,R-T90,D,137,120,143,2351,143,1
VL-BLT-0648,Alignment Lift Pulley Wheel,Vehicle Lift,Alignment Lift,Belts & pulleys,regular,High,SUP-011,EU,170.0,Bin,Active,A,C,R-Z70,B,94,57,10,54,94,1
TC-CON-0607,A2024 LL Rubber Pad,Tyre Changer,A2024 LL,Consumables & service kits,frequent,Medium,SUP-015,EU,6.74,Bin,Active,C,C,R-E60,D,252,154,151,5860,252,1
VL-CON-0900,Two-Post Lift Grease Cartridge,Vehicle Lift,Two-Post Lift,Consumables & service kits,frequent,Medium,SUP-014,Eastern Europe,4.39,Bin,Active,C,C,R-T77,B,85,22,103,193,103,1
VL-CON-0704,Alignment Lift Filter Kit,Vehicle Lift,Alignment Lift,Consumables & service kits,frequent,Low,SUP-002,Italy,2.21,Bin,Active,C,C,R-E77,F,474,331,38,5962,474,1
WA-BRG-0964,REMO Bearing Set,Wheel Aligner,REMO,Bearings & shafts,regular,High,SUP-013,North America,255.0,Bin,Active,A,C,R-Y40,D,225,195,134,5879,225,1
TE-CON-0521,Inspection Line Protective Cover,Technical Control,Inspection Line,Consumables & service kits,frequent,Medium,SUP-007,Eastern Europe,9.41,Bin,Active,B,C,R-P96,D,167,114,10,190,167,1
