Purchase_Requisition_ID,Part_ID,Supplier_ID,Requested_Qty,Estimated_Value_EUR,Priority,Reason_Code,Status,Part_Name,Part_Category,ABC_Class,Movement_Class,Criticality,Unit_Cost_EUR,Supplier_Region
PR000025,WA-CON-0637,SUP-015,7,65.94,Low,Below_Reorder_Point,Planner Review,3D Aligner Filter Kit,Consumables & service kits,B,C,Low,9.42,EU
PR000026,AD-PNE-0068,SUP-010,3,121.95,Low,Below_Reorder_Point,Planner Review,Camera Calibration Pneumatic Cylinder,Pneumatic valves & cylinders,B,D,High,40.65,EU
PR000027,WB-SNS-0434,SUP-013,3,420.0,Low,Below_Reorder_Point,Planner Review,EM 9000 Speed Sensor,"Sensors, encoders & switches",A,D,High,140.0,North America
PR000028,VL-BRG-0993,SUP-012,4,220.0,Low,Below_Reorder_Point,Planner Review,Alignment Lift Hub Shaft,Bearings & shafts,B,D,Low,55.0,Italy
PR000029,WA-CAB-0778,SUP-010,3,31.41,Low,Below_Reorder_Point,Planner Review,Exact Precision Sensor Harness,"Cables, connectors & harnesses",C,D,Medium,10.47,EU
PR000030,WB-SNS-0967,SUP-004,3,735.0,Low,Below_Reorder_Point,Planner Review,Eyelight Speed Sensor,"Sensors, encoders & switches",A,D,Medium,245.0,EU
PR000031,TC-PNE-0448,SUP-005,4,500.0,Low,Below_Reorder_Point,Planner Review,HD1200 Truck Air Hose Set,Pneumatic valves & cylinders,A,NC,Medium,125.0,Eastern Europe
PR000032,TC-BLT-0127,SUP-010,4,49.0,Low,Below_Reorder_Point,Planner Review,HD1200 Truck Timing Belt,Belts & pulleys,C,D,Medium,12.25,EU
PR000033,WA-PNE-0447,SUP-018,2,650.0,Low,Below_Reorder_Point,Planner Review,Exact Precision Manifold Valve,Pneumatic valves & cylinders,A,D,Medium,325.0,EU
PR000034,VL-CAB-0959,SUP-004,3,315.0,Low,Below_Reorder_Point,Planner Review,Alignment Lift Terminal Block,"Cables, connectors & harnesses",A,D,Low,105.0,EU
PR000035,VL-CON-0284,SUP-002,5,148.75,High,Below_Reorder_Point,Planner Review,Alignment Lift Service Seal Pack,Consumables & service kits,B,D,Critical,29.75,Italy
PR000036,TC-CAB-0676,SUP-004,2,86.54,Low,Below_Reorder_Point,Planner Review,HD1200 Truck Usb Interface Cable,"Cables, connectors & harnesses",B,D,High,43.27,EU
PR000037,TC-SNS-0868,SUP-007,2,940.0,Low,Below_Reorder_Point,Planner Review,Basic Line TC Position Sensor,"Sensors, encoders & switches",A,NC,High,470.0,Eastern Europe
PR000038,WB-PNE-0611,SUP-006,2,110.0,Low,Below_Reorder_Point,Planner Review,Eyelight Air Regulator,Pneumatic valves & cylinders,B,NC,Medium,55.0,EU
PR000039,VL-CAB-0734,SUP-017,2,77.14,Low,Below_Reorder_Point,Planner Review,ERCO Lift Ribbon Cable,"Cables, connectors & harnesses",C,NC,Medium,38.57,EU
PR000040,TE-PNE-0984,SUP-010,2,86.88,Low,Below_Reorder_Point,Planner Review,Suspension Tester Foot Pedal Valve,Pneumatic valves & cylinders,C,NC,High,43.44,EU
PR000041,WB-HYD-0461,SUP-020,2,200.0,Low,Below_Reorder_Point,Planner Review,Eyelight Hydraulic Seal Kit,"Hydraulic pumps, hoses & seals",B,NC,Medium,100.0,EU
PR000042,AD-SNS-0130,SUP-003,3,105.36,Low,Below_Reorder_Point,Planner Review,Radar Calibration Load Cell,"Sensors, encoders & switches",C,NC,High,35.12,EU
PR000043,WA-HYD-0077,SUP-018,3,64.2,Low,Below_Reorder_Point,Planner Review,Camera Aligner Hydraulic Seal Kit,"Hydraulic pumps, hoses & seals",C,NC,Low,21.4,EU
PR000044,TC-PCB-0524,SUP-016,3,3690.0,High,Below_Reorder_Point,Planner Review,A2024 LL I/O Board,Control boards & displays,A,NC,Critical,1230.0,EU
PR000045,TC-PCB-0755,SUP-020,2,600.0,Low,Below_Reorder_Point,Planner Review,Basic Line TC Keypad Board,Control boards & displays,B,NC,High,300.0,EU
PR000046,WA-PCB-0145,SUP-020,3,1200.0,Low,Below_Reorder_Point,Planner Review,3D Aligner Processor Module,Control boards & displays,A,NC,Medium,400.0,EU
PR000047,TE-BLT-0334,SUP-018,3,135.87,Low,Below_Reorder_Point,Planner Review,Inspection Line Timing Belt,Belts & pulleys,B,D,Medium,45.29,EU
